id,first_name,last_name,email,phone,date_of_birth,signup_date,country,state,city,zip_code,address,company,department,job_title,status,category,segment,score_1,score_2,score_3,metric_a,metric_b,metric_c,revenue,cost,profit,margin_pct,units_sold,discount_pct,rating,reviews_count,last_login,sessions,page_views,bounce_rate,conversion_rate,plan,is_active,is_verified,priority,region,channel,source,campaign,tags,notes,created_at,updated_at,flag
1,David,Smith,david.smith1@example.com,+1-555-3286,2003-01-14,2022-04-15,IN,OR,Portland,21395,605 Main St,Company 28,Sales,Manager,active,A,SMB,64,77,3,0.561,0.716,0.701,37335.97,18591.7,18744.27,50.2,215,7,2.8,569,2026-07-26,2,1308,65.9,3.73,basic,TRUE,FALSE,low,NA,mobile,organic,campaign_6,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
2,Tara,Patel,tara.patel2@example.com,+1-555-9785,1975-08-08,2024-09-23,AU,OR,Portland,20328,566 Main St,Company 19,Marketing,Analyst,pending,A,SMB,84,29,98,0.289,0.08,0.233,40549.29,28055.76,12493.53,30.8,52,12,2.1,1301,2026-07-27,94,1333,39.6,2.49,pro,TRUE,TRUE,high,EMEA,web,paid,campaign_7,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
3,Rosa,Kim,rosa.kim3@example.com,+1-555-1916,1980-04-10,2024-04-21,US,OR,Portland,51347,411 Main St,Company 18,Sales,Analyst,pending,C,Mid,27,83,63,0.396,0.915,0.459,34546.1,25465.34,9080.76,26.3,136,4,2.0,1149,2026-07-18,68,4789,44.3,6.04,pro,TRUE,TRUE,high,LATAM,web,organic,campaign_2,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
4,Frank,Nguyen,frank.nguyen4@example.com,+1-555-8668,1993-09-26,2022-09-15,IN,OR,Portland,11504,697 Main St,Company 47,Sales,Engineer,pending,B,SMB,37,55,20,0.454,0.954,0.876,30224.04,16741.31,13482.73,44.6,135,16,4.0,1039,2026-07-30,28,2445,77.3,5.32,basic,TRUE,FALSE,low,NA,store,paid,campaign_8,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
5,David,Brown,david.brown5@example.com,+1-555-6038,1980-09-28,2022-03-01,DE,OR,Portland,84364,970 Main St,Company 6,Sales,Director,active,C,SMB,16,84,60,0.947,0.165,0.528,44057.37,32279.35,11778.02,26.7,311,13,4.9,1902,2026-07-18,194,1648,67.0,4.29,pro,FALSE,FALSE,low,EMEA,web,organic,campaign_6,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
6,Sam,Muller,sam.muller6@example.com,+1-555-2163,2001-10-02,2023-10-09,US,OR,Portland,40007,70 Main St,Company 3,Marketing,Manager,pending,A,Mid,85,62,27,0.539,0.723,0.882,12275.62,5991.57,6284.05,51.2,296,15,2.0,968,2026-07-26,105,1560,17.5,6.76,pro,FALSE,FALSE,medium,NA,store,referral,campaign_2,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
7,Mona,Brown,mona.brown7@example.com,+1-555-4139,1978-07-14,2023-07-04,BR,OR,Portland,28373,433 Main St,Company 12,Marketing,Director,active,A,Mid,70,12,6,0.652,0.541,0.015,40229.03,17849.93,22379.1,55.6,48,29,4.0,484,2026-07-06,105,3979,48.5,8.71,free,TRUE,FALSE,low,LATAM,mobile,paid,campaign_5,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
8,Rosa,Lopez,rosa.lopez8@example.com,+1-555-1958,1995-12-25,2024-01-24,IN,OR,Portland,17989,766 Main St,Company 21,Sales,Manager,pending,B,Enterprise,67,20,7,0.961,0.08,0.186,8585.04,4452.92,4132.12,48.1,305,2,3.7,481,2026-07-13,31,4667,29.7,6.15,free,FALSE,FALSE,medium,EMEA,store,referral,campaign_6,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
9,Ines,Nguyen,ines.nguyen9@example.com,+1-555-8491,1984-03-08,2024-08-09,CA,OR,Portland,11220,470 Main St,Company 40,Sales,Manager,pending,A,Enterprise,33,16,44,0.881,0.879,0.37,7413.04,4879.27,2533.77,34.2,81,14,4.3,1440,2026-07-10,157,4334,10.6,8.26,pro,TRUE,TRUE,medium,NA,web,referral,campaign_9,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,0
10,Ines,Patel,ines.patel10@example.com,+1-555-4335,2000-11-02,2023-10-12,FR,OR,Portland,76244,501 Main St,Company 17,Sales,Manager,pending,B,Mid,5,0,42,0.771,0.637,0.262,30636.66,21048.76,9587.9,31.3,380,14,3.2,875,2026-07-18,3,917,16.0,8.89,basic,TRUE,FALSE,high,EMEA,mobile,organic,campaign_1,tag1;tag2,,2026-08-01T09:00:00,2026-08-03T09:00:00,1
