enrollment_id,course_id,student_name,enrolled_date,status,amount_paid_usd
9023,105,Uma,2026-01-02,in_progress,110.0
9034,107,Sofia,2026-01-20,completed,60.0
9011,102,Oscar,2026-01-22,in_progress,85.0
9041,108,Victor,2026-02-02,completed,90.0
9007,102,Nia,2026-02-02,completed,85.0
9030,106,Petra,2026-02-02,completed,200.0
9044,110,Quinn,2026-02-05,in_progress,75.0
9033,107,Wren,2026-02-07,completed,60.0
9015,103,Oscar,2026-02-13,completed,95.0
9040,108,Nia,2026-02-14,completed,90.0
9019,103,Xander,2026-02-19,completed,95.0
9004,101,Victor,2026-03-03,completed,120.0
9003,101,Uma,2026-03-04,completed,120.0
9022,105,Yara,2026-03-08,completed,110.0
9037,108,Quinn,2026-03-10,dropped,90.0
9006,102,Nia,2026-03-20,dropped,85.0
9024,105,Victor,2026-03-22,completed,110.0
9036,108,Theo,2026-03-28,completed,90.0
9002,101,Victor,2026-04-06,in_progress,120.0
9017,103,Nia,2026-04-07,in_progress,95.0
9008,102,Nia,2026-04-20,in_progress,85.0
9010,102,Ravi,2026-04-21,in_progress,85.0
9039,108,Theo,2026-04-22,in_progress,90.0
9038,108,Quinn,2026-04-24,completed,90.0
9014,103,Oscar,2026-05-01,dropped,95.0
9028,106,Quinn,2026-05-01,completed,200.0
9013,103,Quinn,2026-05-11,dropped,95.0
9020,105,Oscar,2026-05-11,completed,110.0
9032,107,Oscar,2026-05-13,completed,60.0
9012,102,Victor,2026-05-14,completed,85.0
9021,105,Theo,2026-06-01,completed,110.0
9009,102,Wren,2026-06-15,completed,85.0
9016,103,Nia,2026-07-03,completed,95.0
9027,106,Nia,2026-07-07,completed,200.0
9042,110,Theo,2026-07-09,dropped,75.0
9005,101,Xander,2026-07-15,dropped,120.0
9026,105,Theo,2026-07-21,completed,110.0
9018,103,Theo,2026-07-23,in_progress,95.0
9029,106,Wren,2026-07-28,dropped,200.0
9035,107,Wren,2026-08-05,in_progress,60.0
9031,106,Nia,2026-08-09,dropped,200.0
9043,110,Victor,2026-08-10,completed,75.0
9001,101,Victor,2026-08-15,dropped,120.0
9025,105,Quinn,2026-08-17,completed,110.0
